OBJECTID,stop_UID,stop_agency,stop_id,route_id
638,MTS_10790,MTS,10790,27
639,MTS_10790,MTS,10790,8
640,MTS_10793,MTS,10793,201
641,MTS_10793,MTS,10793,237
642,MTS_10793,MTS,10793,41
643,MTS_10793,MTS,10793,921
644,MTS_10796,MTS,10796,35
645,MTS_10798,MTS,10798,105
646,MTS_10800,MTS,10800,105
647,MTS_10802,MTS,10802,28
648,MTS_10802,MTS,10802,35
649,MTS_10806,MTS,10806,105
650,MTS_10815,MTS,10815,43
651,MTS_10816,MTS,10816,88
652,MTS_10818,MTS,10818,88
653,MTS_10824,MTS,10824,44
654,MTS_10825,MTS,10825,83
655,MTS_10826,MTS,10826,83
656,MTS_10827,MTS,10827,43
657,MTS_10828,MTS,10828,923
658,MTS_10828,MTS,10828,992
659,MTS_10831,MTS,10831,120
660,MTS_10833,MTS,10833,280
661,MTS_10833,MTS,10833,290
662,MTS_10833,MTS,10833,923
663,MTS_10833,MTS,10833,992
664,MTS_10834,MTS,10834,10
665,MTS_10836,MTS,10836,280
666,MTS_10836,MTS,10836,290
667,MTS_10836,MTS,10836,923
668,MTS_10836,MTS,10836,992
669,MTS_10837,MTS,10837,27
670,MTS_10838,MTS,10838,10
671,MTS_10839,MTS,10839,110
672,MTS_10839,MTS,10839,2
673,MTS_10839,MTS,10839,215
674,MTS_10839,MTS,10839,225
675,MTS_10839,MTS,10839,235
676,MTS_10839,MTS,10839,280
677,MTS_10839,MTS,10839,290
678,MTS_10839,MTS,10839,7
679,MTS_10839,MTS,10839,923
680,MTS_10839,MTS,10839,992
681,MTS_10840,MTS,10840,2
682,MTS_10840,MTS,10840,7
683,MTS_10841,MTS,10841,215
684,MTS_10841,MTS,10841,225
685,MTS_10841,MTS,10841,235
686,MTS_10846,MTS,10846,3
687,MTS_10847,MTS,10847,1
688,MTS_10847,MTS,10847,11
689,MTS_10848,MTS,10848,3
690,MTS_10850,MTS,10850,120
691,MTS_10852,MTS,10852,1
692,MTS_10852,MTS,10852,10
693,MTS_10852,MTS,10852,11
694,MTS_10853,MTS,10853,27
695,MTS_10854,MTS,10854,120
696,MTS_10856,MTS,10856,3
697,MTS_10858,MTS,10858,3
698,MTS_10858,MTS,10858,5
699,MTS_10859,MTS,10859,110
700,MTS_10859,MTS,10859,921
701,MTS_10860,MTS,10860,6
702,MTS_10862,MTS,10862,1
703,MTS_10862,MTS,10862,11
704,MTS_10863,MTS,10863,2
705,MTS_10865,MTS,10865,1
706,MTS_10865,MTS,10865,11
707,MTS_10866,MTS,10866,3
708,MTS_10866,MTS,10866,5
709,MTS_10868,MTS,10868,12
710,MTS_10869,MTS,10869,25
711,MTS_10870,MTS,10870,110
712,MTS_10870,MTS,10870,921
713,MTS_10871,MTS,10871,4
714,MTS_10873,MTS,10873,2
715,MTS_10874,MTS,10874,4
716,MTS_10876,MTS,10876,12
717,MTS_10877,MTS,10877,928
718,MTS_10878,MTS,10878,2
719,MTS_10879,MTS,10879,6
720,MTS_10880,MTS,10880,25
721,MTS_10882,MTS,10882,4
722,MTS_10884,MTS,10884,12
723,MTS_10885,MTS,10885,7
724,MTS_10889,MTS,10889,4
725,MTS_10890,MTS,10890,3
726,MTS_10892,MTS,10892,10
727,MTS_10892,MTS,10892,7
728,MTS_10893,MTS,10893,3
729,MTS_10894,MTS,10894,1
730,MTS_10894,MTS,10894,6
731,MTS_10895,MTS,10895,12
732,MTS_10896,MTS,10896,4
733,MTS_10897,MTS,10897,5
734,MTS_10899,MTS,10899,7
735,MTS_10900,MTS,10900,11
736,MTS_10902,MTS,10902,929
737,MTS_10903,MTS,10903,5
738,MTS_10904,MTS,10904,2
739,MTS_10907,MTS,10907,3
740,MTS_10909,MTS,10909,7
741,MTS_10910,MTS,10910,12
742,MTS_10911,MTS,10911,4
743,MTS_10912,MTS,10912,3
744,MTS_10913,MTS,10913,929
745,MTS_10914,MTS,10914,5
746,MTS_10915,MTS,10915,7
747,MTS_10918,MTS,10918,3
748,MTS_10921,MTS,10921,60
749,MTS_10923,MTS,10923,5
750,MTS_10924,MTS,10924,2
751,MTS_10925,MTS,10925,3
752,MTS_10926,MTS,10926,4
753,MTS_10927,MTS,10927,929
754,MTS_10928,MTS,10928,25
755,MTS_10933,MTS,10933,11
756,MTS_10934,MTS,10934,10
